case,label,type,depth_mm,condition,sched_role,sched_include_main,s21_energy_db,path_loss_energy_db,g_norm_raw_s21,g_norm,s21_data_db,path_loss_data_db,r_norm,chi_norm_raw_q_p95,chi_norm,chi_definition,Q_p95_norm_5mm,Q_avg_norm_5mm,Q_max_norm_5mm,p_rx_cap_norm_raw,p_rx_cap_norm,scheduler_energy_scale,scheduler_chi_norm_policy,scheduler_calibration_note,cap_clipping_rule,field_proxy_source,field_proxy_note
t_surf_rest,surface_rest,surface,0.0,rest,baseline,True,-69.82816599285628,69.82816599285628,1.0,1.0,-70.40762017766808,70.40762017766808,1.0,1.0,1.0,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,1.0,1.0,1.0,1.0,1.0,1.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,surface scheduler columns use raw normalized HFSS S21 and sqrt sampled-Q load proxy,"min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_surf_sweat,surface_sweat,surface,0.0,sweat,main_surface_wet,True,-63.8906402217828,63.8906402217828,3.924213044730832,3.924213044730832,-64.97730572919227,64.97730572919227,3.491655957018533,2.4835074360729763,1.5759147934050801,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,2.4835074360729763,2.4836552139232917,2.483471149525254,3.924213044730832,1.0,1.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,surface scheduler columns use raw normalized HFSS S21 and sqrt sampled-Q load proxy,"min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_surf_loose,surface_moderate_loose,surface,0.0,moderate_loose,main_surface_degraded,True,-69.6026971880124,69.6026971880124,1.0532873794734683,1.0532873794734683,-70.24930812981894,70.24930812981894,1.0371252428320241,0.49174044437385805,0.7012420725925236,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.49174044437385805,0.4917828354452063,0.4917227548079912,1.0532873794734683,1.0,1.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,surface scheduler columns use raw normalized HFSS S21 and sqrt sampled-Q load proxy,"min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_surf_fail,surface_contact_failure,surface,0.0,contact_failure,legacy_surface_failure_compat,False,-109.0968628971851,109.0968628971851,0.00011833965792627839,0.00011833965792627839,-100.97783086690976,100.97783086690976,0.0008769582762429397,0.6403184862295971,0.8001990291356251,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.6403184862295971,0.6402726806007653,0.640326638702933,0.00011833965792627839,0.00011833965792627839,1.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,surface scheduler columns use raw normalized HFSS S21 and sqrt sampled-Q load proxy,"min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_imp10_rest,implant10_rest,implant,10.0,rest,main_implant,True,-70.09782332434096,70.09782332434096,0.9397974598594621,1.8795949197189241,-69.28728635379525,69.28728635379525,1.2942953246556694,0.6226098334198933,1.15,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.6226098334198933,0.6226827610842901,0.622584537725945,0.9397974598594621,1.0,2.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,"implant energy scaled by 2 for LP scheduling units; raw S21-normalized gain is retained in g_norm_raw_s21; chi fixed at 1.15 because sampled 5 mm Q is a near-electrode load proxy, not SAR","min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_imp10_stress,implant10_stress,implant,10.0,stress,main_implant_stress,True,-74.93052228690709,74.93052228690709,0.3088619226609387,0.6177238453218774,-73.2845837503358,73.2845837503358,0.5155889994644339,0.09591437805381234,1.15,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.09591437805381234,0.09572139301961409,0.09600606526546984,0.3088619226609387,0.6177238453218774,2.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,"implant energy scaled by 2 for LP scheduling units; raw S21-normalized gain is retained in g_norm_raw_s21; chi fixed at 1.15 because sampled 5 mm Q is a near-electrode load proxy, not SAR","min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_imp30_rest,implant30_rest,implant,30.0,rest,main_implant,True,-73.32344070964007,73.32344070964007,0.4471698647720852,0.8943397295441704,-72.21955724875214,72.21955724875214,0.6588799513816206,0.8858892823662532,1.15,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.8858892823662532,0.8857187009943329,0.8859735564955683,0.4471698647720852,0.8943397295441704,2.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,"implant energy scaled by 2 for LP scheduling units; raw S21-normalized gain is retained in g_norm_raw_s21; chi fixed at 1.15 because sampled 5 mm Q is a near-electrode load proxy, not SAR","min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
t_imp30_stress,implant30_stress,implant,30.0,stress,main_implant_stress,True,-78.99379179468238,78.99379179468238,0.12118180578215137,0.24236361156430275,-76.98090907235509,76.98090907235509,0.22012588272080713,0.8124403628515445,1.15,sqrt_sampled_Q_p95_norm_surface_or_fixed_implant_scheduler_chi_not_sar,0.8124403628515445,0.8025668003026042,0.8124969514320505,0.12118180578215137,0.24236361156430275,2.0,fixed_1p15_for_implants; sqrt_Q_p95_clipped_4_for_surface,"implant energy scaled by 2 for LP scheduling units; raw S21-normalized gain is retained in g_norm_raw_s21; chi fixed at 1.15 because sampled 5 mm Q is a near-electrode load proxy, not SAR","min(scheduler_g_norm, 1.0)","sampled E-field, 5 mm receiver cube",sampled E-field proxy in 5 mm receiver cube; not SAR compliance and not a 1g/10g SAR result
