case,study,type,condition,depth_mm,rx_x_mm,rx_z_mm,freq_MHz,sample_count,sigma_S_per_m,Emean_sampled_V_per_m,Ep90_sampled_V_per_m,Ep95_sampled_V_per_m,Ep99_sampled_V_per_m,Emax_sampled_V_per_m,Q_mean_W_per_m3,Q_p90_W_per_m3,Q_p95_W_per_m3,Q_p99_W_per_m3,Q_max_W_per_m3,sample_points_file
t_surf_rest,A_main_library,surface,surface_rest,0.0,50.0,150.0,13.56,125,0.7,0.09930822482052472,0.09931552448051262,0.09931704355239339,0.09931905229247781,0.09931955922600659,0.006903486461902717,0.006904501381987511,0.006904712597991603,0.0069049919037931584,0.006905062391393761,t_surf_rest_5mm.fld
t_surf_sweat,A_main_library,surface,surface_sweat,0.0,50.0,150.0,13.56,125,1.1,0.12484856334176704,0.12485474503424573,0.12485593545820901,0.12485762312748991,0.12485818586299587,0.01714588014535354,0.017147578093323162,0.017147905081058904,0.017148368658350933,0.017148523234698263,t_surf_sweat_5mm.fld
t_surf_loose,A_main_library,surface,surface_loose,0.0,50.0,150.0,13.56,125,0.7,0.06964210699499994,0.06964477813482609,0.06964528946444226,0.06964579203814193,0.0696458008293926,0.003395016146692113,0.0033952765850144046,0.0033953264412101667,0.00339537544403408,0.003395376301217196,t_surf_loose_5mm.fld
t_surf_fail,A_main_library,surface,surface_contact_failure,0.0,50.0,150.5,13.56,125,0.7,0.0794635026955641,0.07947210222677453,0.07947340182724578,0.07947585676521483,0.0794759208018846,0.004420113782453545,0.004421070522640031,0.004421215118596411,0.00442148826599546,0.004421495391115204,t_surf_fail_5mm.fld
t_imp10_rest,A_main_library,implant,implant10_rest,10.0,50.0,140.0,13.56,125,0.8,0.07330315487076255,0.07330500363887742,0.07330537122585042,0.07330567944843201,0.07330573883498731,0.0042986820112056005,0.0042988988467966656,0.0042989419604477904,0.0042989781115170145,0.004298985076914693,t_imp10_rest_5mm.fld
t_imp10_stress,A_main_library,implant,implant10_stress,10.0,50.0,140.0,13.56,125,0.2,0.057480924697910656,0.05753321925374263,0.05754394905099437,0.05756217417869218,0.05757290467790776,0.0006608113408253751,0.0006620142635398443,0.0006622612144766873,0.0006626807792356194,0.0006629278706102907,t_imp10_stress_5mm.fld
t_imp30_rest,A_main_library,implant,implant30_rest,30.0,50.0,120.0,13.56,125,0.8,0.08742530427004842,0.08743830017595561,0.08744148678101837,0.08744534877518174,0.08744786078520535,0.006114547061368438,0.006116365070128416,0.006116810888380009,0.0061173512179305434,0.0061177026847269245,t_imp30_rest_5mm.fld
t_imp30_stress,A_main_library,implant,implant30_stress,30.0,50.0,120.0,13.56,125,0.2,0.16644081591757487,0.1674723612739027,0.1674763745800871,0.1674853860188174,0.16748644933927542,0.005540509040661609,0.005609398358131317,0.005609667208497929,0.005610270905974456,0.005610342142455535,t_imp30_stress_5mm.fld
